,INICIATIVAS EN LAS QUE REVENUE ES OWNER                                                 INICIATIVAS EN LAS QUE REVEUE ES OWNER                                                                                                                                    INICIATIVAS EN LAS QUE REVENUE ES OWNER,,,,,,,,,,,,,,,
Área,Iniciativas Q1 2026,Key Actions ,SUCCESS METRIC,Quien apoya?,KR,OKR de Colppy,Enero,Febrero,Marzo,En que instancia se va a reportar,En qué frecuencia,Cuál es la métrica que nos dice que avance o no avanza?,Que consecuencias / acciones tenemos en caso que no se desvía? ,Que no incluye en este Trimestre?,,
Revenue,"MKT PERFORMANCE - Paid Media
Aumentar y Mejorar la generación de demanda para
 ICP Pymes",Optimizar Campañas pagas y contenido Web para la generación de nueva demanda,Generacion de Leads pagos de calidad para cada ICP,"Ventas
Customer",KR1,PQLs / MQL / MRR,,,,Diario,Martes y Jueves,"MRR ICP Contador 
MRR ICP Pyme","Redefinicion de Estrategia Performatica
Plan B: sumar Programatica y reasignacion de 
Budget entre Meta y Google",,,
Revenue,"MKT PERFORMANCE - Paid Media
Aumentar y Mejorar la generación de demanda para
 ICP Contador",Optimizar Campañas pagas y contenido Web para la generación de nueva demanda,Generacion de Leads pagos de calidad para cada ICP,"Ventas
Customer",KR2,PQLs / MQL / MRR,,,,Diario,Martes y Jueves,"MRR ICP Contador 
MRR ICP Pyme","Redefinicion de Estrategia Performatica
Plan B: sumar Programatica y reasignacion de 
Budget entre Meta y Google",,,
Revenue,"MKT PERFORMANCE - Paid Media
Aumentar y Mejorar la generación de demanda para Producto Sueldos",Optimizar Campañas pagas y contenido Web para la generación de nueva demanda,Generacion de Leads pagos de calidad para Producto Sueldos,"Ventas 
Sueldos",KR3,KR3 / KR2,5,5,5,Diario,Martes y Jueves,New Client Sueldos,"Redefinicion de Estrategia Performatica
Plan B: sumar Programatica y definir 
Budget entre Meta y Google.
Sumar video + Carrousel",,"la diferencia de #30 New Clientges sueldos lo toma Customer/Growt Sueldos
Q2 total de #20, Q3 total #24 y Q3 #25",
Revenue,"Desarrollo de Campañas para objetivo 
PQLs",Generacion de PQLs dormidos o descalificados por medio de Intercom,Generacion de PQLs,"Ventas
Customer",KR4,PQLs ,55,55,55,Diario,Martes y Jueves,PQLs,,,,
Revenue,Optimización de onboarding de usuarios segmentados por ICP Sueldos,"Rediseñar el flujo de onboarding digital en base al tipo de cliente y producto contratado.
Medir la tasa de activación de funcionalidades clave por ICP de Sueldos
",Incrementar el porcentaje de usuarios nuevos para generar el primer evento clave en los primeros 15 días.,Sueldos,"KR1: Implementar 1 journey de onboarding diferenciados (Sueldos) en Intercom antes de junio 2026.
KR2: Alcanzar una tasa de activación inicial del 85% en cada segmento.
",KR1,,,,,,,,,,
Revenue,Definicion de estrategia Upselling y Crosselling,Escalar la venta y mejorar la experiencia del usuario,Incrementar ,"Ventas
MKT
Customer
Sueldos",KR1 / KR2 / KR3 ,MRR,,,,Weekly ,Jueves,MRR,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
