,,INICIATIVAS EN LAS QUE PEOPLE ES OWNER                                                 INICIATIVAS EN LAS QUE PEOPLE ES OWNER                                                                                                                                    INICIATIVAS EN LAS QUE PEOPLE ES OWNER,,,,,,,,,,,
Iniciativas Q1 2026,Key Actions ,SUCCESS METRIC,Quien apoya?,KR,OKR de Colppy Q1,Enero,Febrero,Marzo,En que instancia se va a reportar,En qué frecuencia,Cual es la metrica que nos dice que avance o no avanza?,Que consecuencias / acciones tenemos en caso que no se desvía? ,Que no incluye en este Trimestre?
Malla de formación en habilidades de liderazgo,"Programa con herramientas de formación para líderes. Perfil SUMA. 
Playbook de trabajo de competencias del perfil del lider.
Definir programa de contenidos de Empowered.
Onboarding de LWR (MVP)
Programa de Coaching",Leadership Effectiveness,CADE,KR3,"KR 1, KR 2",,,,,,,,
Alineación regional de total rewards,"Implementación de política de compensaciones regional (Nivelaciones, promociones, inflación, merit increase).",,Total Rewards,KR1,"KR 1, KR 2",,,,,,,,
Alineación regional de total rewards,Implementación y comunicación de programa de beneficios regional.,,Total Rewards,KR1,"KR 1, KR 2",,,,,,,,
Planes de desarrollo,"
Alineación de career path Regional.
Construcción del Career Path de Colppy.


",Entregable,OD + Mesa de Liderazgo,"KR2, KR3","KR 1, KR 2",Career Path Regional,,,,,% de avance,,"Planes de sucesión
Potencial
Career Path por área"
"Evolución de OB Sales

Garantizar una experiencia de onboarding que acelere el impacto del talento nuevo en el crecimiento del negocio.
","
- Traspaso de diagnóstico al Head of Revenue (Resultado del PPR, documentación, necesidades detectadas)
- Definición de plan de trabajo y alcances","MRR Colppy target Q1.
75MM",OD + HRBP + Revenue,KR2,"KR 1, KR 2, KR3",,,,,,TBD post reunión con Head,,TBD post reunión con Head
"Evolución de OB Sales Customer

Garantizar una experiencia de onboarding que acelere el impacto del talento nuevo en el crecimiento del negocio.
","
- Diagnóstico
- Resultado del PPR
- Definición de plan de trabajo y alcances",MRR Colppy anual.,OD + Customer + HRBP,KR2,"KR 1, KR 2, KR3",,,,,,TBD post reunión con Head,,TBD post reunión con Head
Definición y comunicación de la Cultura Colppy,"Diagnóstico de Cultura
Plan de trabajo", percepción de claridad cultural >80% en engagement.,CADE + Mesa de Liderazgo,KR1,,,,,,,,,
Diseño y Lanzamiento de Piloto de Incentivos Variables,"Alinear al equipo de Customer con la estrategia de negocio (ICP), premiando la retención y satisfacción del cliente ideal.",,Rewards + Customer,KR2,"KR 1, KR 2, KR3",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,INICIATIVAS EN LAS QUE PEOPLE COLABORA                                                    INICIATIVAS EN LAS QUE PEOPLE COLABORA                                                                                                                                    INICIATIVAS EN LAS QUE PEOPLE COLABORA,,,,,,,,,,,
Iniciativas Q1 2026,Key Actions ,SUCCESS METRIC,Quien es OWNER?,KR,OKR de Colppy Q1,Enero,Febrero,Marzo,En que instancia se va a reportar,En que frecuencia,En que formato,Baseline,Objetivo
