,,,,,,,,,
,,LINK PLANNING 2026,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Objetivo Anual:,"Convertir a Customer en un área clave de la compañía que logra acompañar el journey de sus diferentes clientes entendiendo de manera proactiva sus necesidades en cada etapa.
",,,,,,,
,,,,,,,,,
,,,,,,,,,
Subárea Customer,KR del Área 2026,Meta,Unidad de KR,A que OKR de Colppy Compañía,Q1,Q2,Q3,Q4,Total Anual
Onboarding,Evento clave <15 días para users,85%,Total usuarios que hicieron evento clave/Total de usuarios pagos registrados de empresas nuevas,KR3,75%,80%,85%,85%,>85%
,Evento clave <30 días empresa,85%,Total de productos nuevos pagos generando eventos/Total de productos nuevos pagos,KR3,75%,80%,85%,85%,>85%
,CSAT,>93%,% satisfacción de respuesta sobre las consultas de nuevos usuarios y empresas,KR1,90%,90%,93%,93%,93%
,Retention empresas (dentro ICP),>90%,Total de productos pagos nuevos más de 90 días/Total de productos pagos nuevos,KR3,90%,90%,90%,90%,90%
Care,NPS,>35,NPS promedio mensual y lo analizamos cada 15 días,KR1,20,25,30,35,>35
,CSAT,93%,% satisfacción de respuesta sobre las consultas calificadas,KR1,85%,90%,93%,93%,93%
,SLA (hrs),< 4 horas,Tiempo (hr) que tardamos en responer la primera consulta,KR1,< 2 h,"< 1,5 h",< 1 h,< 30 min,< 30 min
,Time to resolution (hrs),<7 horas,Tiempo (hr) que tardamos desde primera consulta hasta cierre de conversación,KR1,< 7 h,< 6 h,< 5 h,< 5 h,< 5 h
Growth,Upsell (MRR),$19.880.000,MRR alcanzado por cambio a un plan superior,KR2, $2.010.000, $3.600.000, $5.900.000, $8.370.000,$19.880
,Cross-sell (MRR), $7.854.253,MRR alcanzado por incorporar producto de sueldos,KR2, $1.876.536, $1.933.397, $1.991.981, $2.052.340, $7.854.254
,Migración plan contador (MRR), $7.470.000,MRR generado de pasar administradas a pyme ,KR2, $1.170.000, $1.740.000,$2.100.000,$2.460.000, $7.470.000
,Fidelización canal contador: Oportunidades generadas (MRR),$6.760.000,MRR de CQLs que generamos al equipo comercial,KR2,$1.170.000,,,,
Retention,Clientes,-532,Total de clientes perdidos por mes,KR3,-134,-133,-130,-134,-532
,MRR (MM),-$139.480,"Total de MRR perdido por mes (incluye descuentos, bajas)",KR3,"-$32.945,00","-$34.314,77","-$34.929,49","-$37.290,16",-$139.480
,Gross Churn %,"1,80%",% de Churn respecto a MRR mensual,KR3,"2,00%","1,90%","1,80%","1,70%","1,80%"
