INICIATIVAS EN LAS QUE SUELDOS ES OWNER                                                 INICIATIVAS EN LAS QUE SUELDOS ES OWNER                                                                                                                     ,,,,,,,,,,,,,,,,,
Área,Iniciativas Q1 2026,Key Actions ,SUCCESS METRIC,Quién apoya?,KR,OKR de Colppy,Enero,Febrero,Marzo,En que instancia se va a reportar,En qué frecuencia,En qué formato,Cuál es la métrica que nos dice que avance o no avanza?,Qué consecuencias / acciones tenemos en caso que no se desvía? ,Qué no incluye en este Trimestre?,,
Onboarding,Optimización de onboarding de usuarios segmentados por ICP,"Rediseñar el flujo de onboarding digital en base al tipo de cliente y producto contratado.
Medir la tasa de activación de funcionalidades clave por ICP.
",Incrementar el porcentaje de usuarios nuevos para generar el primer evento clave en los primeros 15 días.,Sueldos,"KR2: Alcanzar una tasa de activación inicial del 75% en cada segmento.
",KR1,"Diagnóstico y diseño: definición de eventos clave por ICP, mapa de onboarding (flujos actuales y dónde se caen los usuarios) y documento de reglas de segmentación (cómo se identifica cada ICP en el sistema y qué variables se usan, como tipo cuenta, rol, producto, etc.).","Implementación: flujos activos en Intercom (mails de bienvenida diferenciados y chats con mensajes de accionables) y actualización de biblioteca de contenido por ICP (""primeros pasos"", artículos y videos).","Reporte de activación por ICP (% usuarios activados por ICP, % empresas activadas, tiempo promedio al evento clave y comparativa vs Q4 2025) + playbook onboarding","Reu de Coordinación
(Martes)",Mensual,Reporte en Mixpanel,,,,,
,Incorporar Sueldos al flujo de Onboarding garantizando un flujo unificado de clientes nuevos,Garantizar que traspasamos el conocimiento de Sueldos y el proceso de Onboarding y ejecutarlo desde Customer,Unificar el Onboarding de un nuevo cliente mejorando la experiencia en Colppy,Sueldos,KR1: 100% de Onboarding de nuevos productos Sueldos realizados por Customer,KR2,"Capacitación formal de Sueldos al equipo de onboarding con material de playbook interno de Sueldos para Customer (checklist de implementación de Sueldos, requisitos mínimos de datos y configuraciones, errores frecuentes y casos tipo por ICP). ¿Qué necesitamos de sueldos? Documento + flujo visual del onboarding de Sueldos actual",Ejecución asistida y validación: toma el 50% de los casos de onboarding + rediseño flujos de onboarding con Sueldos incluidos.,Autonomía y escalabilidad: 100% de los casos que vengan de sueldos sin el especialista.,"Reu de Coordinación
(Martes)",Mensual,Csat > 85% de casos de usuarios nuevos.,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
INICIATIVAS EN LAS QUE SUELDOS COLABORA                                                    INICIATIVAS EN LAS QUE SUELDOS COLABORA                           ,,,,,,,,,,,,,,,,,
Iniciativas Q1 2026,Key Actions ,SUCCESS METRIC,Quien es OWNER?,KR,OKR de Colppy Q1,Enero,Febrero,Marzo,En que instancia se va a reportar,En que frecuencia,En que formato,Baseline,,,,,
Optimizar backoffice,Incorporar acciones e información clave que el equipo necesita para agilizar el trabajo,Reducir el time to resolution del cliente y darle más herramientas al equipo para resolver consultas,Customer,KR: tbd analizar con Producto según viabilidad,KR1,,,,,,,,,,,,
Revenue,"MKT PERFORMANCE - Paid Media
Aumentar y Mejorar la generación de demanda para Producto Sueldos",Optimizar Campañas pagas y contenido Web para la generación de nueva demanda,Generacion de Leads pagos de calidad para Producto Sueldos,"Ventas 
Sueldos",KR3 Revenue,KR3 / KR2,20,40,60,Bi weekly Performance,Martes y Jueves,Reporte en Hubspot,"Redefinicion de Estrategia Performatica
Plan B: sumar Programatica y definir 
Budget entre Meta y Google.
Sumar video + Carrousel",,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
