,,,,,,,,,
,LINK PLANNING 2026,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Objetivo Anual:,,,,,,,,,
"Acelerar el crecimiento eficiente, consolidándonos como la plataforma de confianza que impulsa el éxito de nuestros ICP.",,,,,,,,,
,,,,,,,,,
"KR del Área 
Anual 2026",Meta,Unidad de KR,A que OKR de Colppy Compañía,Q1,Q2,Q3,Q4,Total Anual,
Aumentar PQL,972 PQL,PQL,KR2,160,251,266,295,972 PQL,
Mejorar el NPS,35 Puntos,Puntos,KR1,20,25,30,35,35 Puntos,
New MRR,398 Millones,Millones,KR2,75,90,104,129,398 Millones,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Propuesta Plan anual ,,,,,,,,,
Q,Theme Tag,Objective (Q),KR,Baseline,Target,Fecha,Owner,Fuente de verdad,Cadencia de review
Q1,T1 Crecimiento eficiente,Acelerar crecimiento (PLG),Aumentar PQL,TBD (cierre 2025),160,fin Q1,Rev/Prod (co-own),HubSpot + Mixpanel,semanal
Q1,T2 Experiencia,Mejorar experiencia,Mejorar NPS,TBD (cierre 2025),20,fin Q1,Customer/Prod (co-own),Herramienta NPS + Intercom,semanal
Q1,T1 Crecimiento eficiente,Acelerar crecimiento (PLG),New MRR,TBD (cierre 2025),75,fin Q1,Revenue,HubSpot / Billing,semanal
Q2,T1 Crecimiento eficiente,Escalar adquisición y activación,Aumentar PQL,Q1 actual,200,fin Q2,Rev/Prod (co-own),HubSpot + Mixpanel,semanal
Q2,T2 Experiencia,Bajar fricción post-venta,Mejorar NPS,Q1 actual,30,fin Q2,Customer/Prod (co-own),Herramienta NPS + Intercom,semanal
Q2,T1 Crecimiento eficiente,Escalar adquisición y activación,New MRR,Q1 actual,75,fin Q2,Revenue,HubSpot / Billing,semanal
Q3,T1 Crecimiento eficiente,Aumentar conversión y expansión,Aumentar PQL,Q2 actual,250,fin Q3,Rev/Prod (co-own),HubSpot + Mixpanel,semanal
Q3,T2 Experiencia,Mejorar valor percibido,Mejorar NPS,Q2 actual,35,fin Q3,Customer/Prod (co-own),Herramienta NPS + Intercom,semanal
Q3,T1 Crecimiento eficiente,Aumentar conversión y expansión,New MRR,Q2 actual,90,fin Q3,Revenue,HubSpot / Billing,semanal
Q4,T1 Crecimiento eficiente,Cerrar el año con eficiencia,Aumentar PQL,Q3 actual,350,fin Q4,Rev/Prod (co-own),HubSpot + Mixpanel,semanal
Q4,T2 Experiencia,Consolidar satisfacción,Mejorar NPS,Q3 actual,40,fin Q4,Customer/Prod (co-own),Herramienta NPS + Intercom,semanal
Q4,T1 Crecimiento eficiente,Cerrar el año con eficiencia,New MRR,Q3 actual,100,fin Q4,Revenue,HubSpot / Billing,semanal
