,,,,,,,,,,
,LINK PLANNING 2026,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,KR,,,,,
Palancas a Mover en 2026,Meta,Unidad de KR,A que OKR de Colppy Compañía,Leading Indicator,Q1,Q2,Q3,Q4,Guardrails (Trade-off),Total Anual
Orquestación y trazabilidad del motor de adquisición,35 Puntos,Puntos,"KR1, NPS","tiempo Contact → Deal (por canal/ICP), % de leads con ICP/segmento (calidad de datos)",20,25,30,35,"Churn 0-180, NPS 1eros 90 días  (no mejorar conversión a costas de degradar  experiencia), Ticket promedio: por debajo de los 100 USD. ","110 KR1, NPS"
,,,,Iniciativas,"Tener mapeado los 4 funnels de adquisición, documentados, medidos y con las primeros ajustes",Mejorar conversión y velocidad,Escalar y estandarizar,Optimizar,,
Flywheel Contador–PyME como motor de adquisición y conversión,398 Millones,Millones,"KR2, MRR","% deals con contador involucrado, Trial→Paid con vs sin contador",75,90,104,129,,398 Millones
,,,,Iniciativas,"Carterizar en hubspot top 25 contadores, todos contactados y en loop de fidelización...",Escalar y estandarizar con ICPs definidos correctamente en Hubspot,TBD,TBD,,
Onboarding y “primer valor” por rol Contador y PyME,783 Clientes,Clientes,"KR3, Net New Customers","% conversión PQL por rol, PQL por rol",73,155,239,316,"CPL, CAC, Time to Value: Mediana menos de 3 horas para desktop",783 Clientes
,,,,Iniciativas,Optimizar la UX desde registro a primer percepción de valor.,,,,,
"Customer escalable (AI + procesos)
",NPS,Puntos,"KR1, NPS","FRT, CSAT",20,25,30,35,,35 Puntos
,,,,Iniciativas,Disminución de backlog con rediseño de tags / atributos con un equipo más capacitado,Optimización de AI para expandir operación,Optimización de flujos por ICP,Gestión por SLA de todo Customer Care,,
