,,,,,,,
,LINK PLANNING 2026,,,,,,
,,,,,,,
,,,,,,,
Objetivo Anual:,,,,,,,
"Consolidar a Colppy como una organización que atrae y retiene talento y liderazgo de alto desempeño, capaz de entregar valor desde el primer momento al cliente, asegurando la eficiencia y sostenibilidad del negocio.
",,,,,,,
,,,,,,,
KR del Área Anual 2026,"Meta
Anual",Unidad de KR,A que OKR de Colppy Compañía,Q1,Q2,Q3,Q4
eNPS,>=20 Promedio anual,eNPS,"KR 1, KR2",10,20,25,25
New MRR,$398MM,Plata,KR 2,"$75MM","$90MM","$104MM",$129MM
Leadership Effectiveness,"TBC, post primera evaluación Q4",Indice,"KR 1, KR2",,,,
Rotación New Hires,30%,Porcentaje,"KR 1, KR2","≤7,5%","≤7,5%","≤7,5%","≤7,5%"
