,,,,,,,,,
,LINK PLANNING 2026,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Objetivo Anual:,,,,,,,,,
"Acelerar flywheels de crecimiento eficiente, con Revenue impulsado por producto: más PQLs de calidad, mayor conversión self-serve y expansión por uso, con pricing por CUIT y el canal Contador como palancas principales.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
KR del Área Anual 2026,Meta,Unidad de KR,A que OKR de Colppy Compañía,Q1,Q2,Q3,Q4,Total Anual,
New MRR ICP Pyme (Directa o referidos por ICP Contador),$0,$ en miles 75% del new,KR2,$0,$0,$0,$0,$0,
New MRR ICPs Contador Operador,$0,$ en miles 25% del new,KR2,$0,$0,$0,$0,$0,
New # Cliente Producto Sueldos (nuevos productos y cross selling),214,Q Productos,KR2 / KR3,15,14,12,13,214,"La diferencia entre los 214 y lo que generará Revenue, es lo que va a generar growth."
# PQL (ambos productos todos los ICPs),972,Q PQL,KR2,160,251,266,295,972,
